Date : 2025-12-26 22:55:52
Directory : /home/ashishm1/ecom-project
Total : 285 files,  50881 codes, 3872 comments, 3090 blanks, all 57843 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /home/ashishm1/ecom-project/app/favorites/loading.tsx                            | TypeScript JSX     |         31 |          4 |          3 |         38 |
| /home/ashishm1/ecom-project/app/favorites/page.tsx                               | TypeScript JSX     |         29 |          1 |          5 |         35 |
| /home/ashishm1/ecom-project/app/forgot-password/page.tsx                         | TypeScript JSX     |         70 |          0 |         12 |         82 |
| /home/ashishm1/ecom-project/app/globals.css                                      | PostCSS            |        277 |          6 |         35 |        318 |
| /home/ashishm1/ecom-project/app/layout.tsx                                       | TypeScript JSX     |         39 |         14 |          4 |         57 |
| /home/ashishm1/ecom-project/app/login/page.tsx                                   | TypeScript JSX     |         10 |          3 |          1 |         14 |
| /home/ashishm1/ecom-project/app/menu.svg                                         | XML                |          3 |          0 |          1 |          4 |
| /home/ashishm1/ecom-project/app/not-found.tsx                                    | TypeScript JSX     |         29 |          0 |          3 |         32 |
| /home/ashishm1/ecom-project/app/orders/[id]/cancel/client.tsx                    | TypeScript JSX     |         75 |          2 |          8 |         85 |
| /home/ashishm1/ecom-project/app/orders/[id]/cancel/page.tsx                      | TypeScript JSX     |          6 |          0 |          3 |          9 |
| /home/ashishm1/ecom-project/app/orders/[id]/success/client.tsx                   | TypeScript JSX     |         53 |          0 |          7 |         60 |
| /home/ashishm1/ecom-project/app/orders/[id]/success/page.tsx                     | TypeScript JSX     |          6 |          0 |          3 |          9 |
| /home/ashishm1/ecom-project/app/orders/page.tsx                                  | TypeScript JSX     |         28 |        152 |         19 |        199 |
| /home/ashishm1/ecom-project/app/page.tsx                                         | TypeScript JSX     |         21 |          0 |          3 |         24 |
| /home/ashishm1/ecom-project/app/privacy-policy/page.tsx                          | TypeScript JSX     |        131 |        297 |         44 |        472 |
| /home/ashishm1/ecom-project/app/products/[id]/page.tsx                           | TypeScript JSX     |         13 |          1 |          2 |         16 |
| /home/ashishm1/ecom-project/app/products/[id]/test.tsx                           | TypeScript JSX     |        217 |         15 |         24 |        256 |
| /home/ashishm1/ecom-project/app/products/loading.tsx                             | TypeScript JSX     |         47 |          5 |         12 |         64 |
| /home/ashishm1/ecom-project/app/products/page.tsx                                | TypeScript JSX     |         82 |         24 |          8 |        114 |
| /home/ashishm1/ecom-project/app/products/productWrapper.tsx                      | TypeScript JSX     |         59 |          4 |          7 |         70 |
| /home/ashishm1/ecom-project/app/refund-policy/page.tsx                           | TypeScript JSX     |        156 |         10 |         10 |        176 |
| /home/ashishm1/ecom-project/app/reset-password/page.tsx                          | TypeScript JSX     |         85 |         71 |         28 |        184 |
| /home/ashishm1/ecom-project/app/signup/page.tsx                                  | TypeScript JSX     |          9 |          5 |          3 |         17 |
| /home/ashishm1/ecom-project/app/success/page.tsx                                 | TypeScript JSX     |         93 |         11 |         17 |        121 |
| /home/ashishm1/ecom-project/app/terms-and-conditions/page.tsx                    | TypeScript JSX     |        106 |         54 |         41 |        201 |
| /home/ashishm1/ecom-project/app/test/page.tsx                                    | TypeScript JSX     |        186 |          0 |          7 |        193 |
| /home/ashishm1/ecom-project/app/test1/client.tsx                                 | TypeScript JSX     |         20 |          0 |          5 |         25 |
| /home/ashishm1/ecom-project/app/test1/page.tsx                                   | TypeScript JSX     |         10 |          0 |          2 |         12 |
| /home/ashishm1/ecom-project/app/verification/client.tsx                          | TypeScript JSX     |         25 |          0 |          8 |         33 |
| /home/ashishm1/ecom-project/app/verification/page.tsx                            | TypeScript JSX     |         15 |          0 |          4 |         19 |
| /home/ashishm1/ecom-project/auth-schema.ts                                       | TypeScript         |         62 |          0 |          5 |         67 |
| /home/ashishm1/ecom-project/auth.ts                                              | TypeScript         |         71 |          0 |          5 |         76 |
| /home/ashishm1/ecom-project/components.json                                      | JSON               |         24 |          0 |          1 |         25 |
| /home/ashishm1/ecom-project/components/CTA/TechbarCTA.tsx                        | TypeScript JSX     |         55 |          5 |          9 |         69 |
| /home/ashishm1/ecom-project/components/CloudinaryUploader.tsx                    | TypeScript JSX     |        133 |          0 |         18 |        151 |
| /home/ashishm1/ecom-project/components/ImageSlider.tsx                           | TypeScript JSX     |        345 |        359 |         87 |        791 |
| /home/ashishm1/ecom-project/components/LoginForm.tsx                             | TypeScript JSX     |        185 |          9 |         19 |        213 |
| /home/ashishm1/ecom-project/components/SignupForm.tsx                            | TypeScript JSX     |        190 |          4 |         23 |        217 |
| /home/ashishm1/ecom-project/components/ToggleTheme.tsx                           | TypeScript JSX     |         29 |          0 |          5 |         34 |
| /home/ashishm1/ecom-project/components/UploadComponent.tsx                       | TypeScript JSX     |         88 |         39 |         15 |        142 |
| /home/ashishm1/ecom-project/components/admin/AdminProductPanel.tsx               | TypeScript JSX     |        988 |         20 |         90 |      1,098 |
| /home/ashishm1/ecom-project/components/admin/Customer.tsx                        | TypeScript JSX     |         81 |          1 |         12 |         94 |
| /home/ashishm1/ecom-project/components/admin/adminSalesDashboard.tsx             | TypeScript JSX     |        406 |          8 |         19 |        433 |
| /home/ashishm1/ecom-project/components/admin/adminhomepage.tsx                   | TypeScript JSX     |         22 |          1 |          6 |         29 |
| /home/ashishm1/ecom-project/components/admin/adminorder.tsx                      | TypeScript JSX     |        289 |          7 |         42 |        338 |
| /home/ashishm1/ecom-project/components/admin/pos/admin-customer.tsx              | TypeScript JSX     |        356 |          6 |         50 |        412 |
| /home/ashishm1/ecom-project/components/admin/pos/customerinfo.tsx                | TypeScript JSX     |        190 |          1 |         15 |        206 |
| /home/ashishm1/ecom-project/components/admin/specTab.tsx                         | TypeScript JSX     |        112 |          6 |         17 |        135 |
| /home/ashishm1/ecom-project/components/admin/users-table.tsx                     | TypeScript JSX     |         81 |          0 |         12 |         93 |
| /home/ashishm1/ecom-project/components/admin/usersSkeleton.tsx                   | TypeScript JSX     |         19 |          0 |          3 |         22 |
| /home/ashishm1/ecom-project/components/admin/view-toggle.tsx                     | TypeScript JSX     |         39 |          0 |          6 |         45 |
| /home/ashishm1/ecom-project/components/adminlayout.tsx                           | TypeScript JSX     |         28 |          2 |          9 |         39 |
| /home/ashishm1/ecom-project/components/auth/loginModal.tsx                       | TypeScript JSX     |         22 |          0 |          2 |         24 |
| /home/ashishm1/ecom-project/components/cart/CartSkeleton.tsx                     | TypeScript JSX     |         61 |          5 |         12 |         78 |
| /home/ashishm1/ecom-project/components/cart/EmptyCart.tsx                        | TypeScript JSX     |         30 |          0 |          6 |         36 |
| /home/ashishm1/ecom-project/components/cart/addToCart.tsx                        | TypeScript JSX     |         75 |          1 |         18 |         94 |
| /home/ashishm1/ecom-project/components/cart/cartClient.tsx                       | TypeScript JSX     |        205 |          3 |         29 |        237 |
| /home/ashishm1/ecom-project/components/checkout/AddNewAddressPage.tsx            | TypeScript JSX     |        124 |          0 |         22 |        146 |
| /home/ashishm1/ecom-project/components/checkout/addressPage.tsx                  | TypeScript JSX     |         38 |          0 |          2 |         40 |
| /home/ashishm1/ecom-project/components/checkout/checkoutAddressPage.tsx          | TypeScript JSX     |         61 |          0 |          7 |         68 |
| /home/ashishm1/ecom-project/components/checkout/page.tsx                         | TypeScript JSX     |         96 |        103 |         40 |        239 |
| /home/ashishm1/ecom-project/components/favourites/favoriteClient.tsx             | TypeScript JSX     |         93 |          5 |          7 |        105 |
| /home/ashishm1/ecom-project/components/favourites/favoritebutton.tsx             | TypeScript JSX     |         54 |          2 |         14 |         70 |
